,SCOREMARGIN,index,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
66,36,81,Jump Shot,7.39421239,2440,Matt Barnes,88.90378,45.21209,Made Shot,20151102,339,21500051,Shot Chart Detail,1,GSW,81,47,5,3,201939,Stephen Curry,Regular,32,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:3:5:32,MEM
67,39,82,Jump Shot,0,201144,Mike Conley,90.26774,52.02288,Made Shot,20151102,344,21500051,Shot Chart Detail,1,GSW,90,52,4,3,201939,Stephen Curry,Regular,58,1,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors,0021500051:3:4:58,MEM
68,42,83,Floating Jump shot,7.118955166,201188,Marc Gasol,87.12792,25.25355,Made Shot,20151102,380,21500051,Shot Chart Detail,1,GSW,81,21,2,3,201939,Stephen Curry,Regular,33,1,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612744,Golden State Warriors,0021500051:3:2:33,MEM
69,1,84,Jump Shot,15.24546733,202362,Lance Stephenson,42.96823,40.36434,Made Shot,20151104,5,21500069,Shot Chart Detail,1,GSW,47,25,11,1,201939,Stephen Curry,Regular,17,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:1:11:17,LAC
70,13,85,Jump Shot,16.01442058,203085,Austin Rivers,23.57551,22.16965,Made Shot,20151104,164,21500069,Shot Chart Detail,1,GSW,33,34,9,2,201939,Stephen Curry,Regular,42,1,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:9:42,LAC
71,17,86,Jump Shot,2.723070052,101108,Chris Paul,23.3957,9.73122,Made Shot,20151104,195,21500069,Shot Chart Detail,1,GSW,25,8,7,2,201939,Stephen Curry,Regular,56,1,29,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:7:56,LAC
72,15,87,Jump Shot,3.669697616,201599,DeAndre Jordan,12.4147,21.23174,Missed Shot,20151104,206,21500069,Shot Chart Detail,1,GSW,16,21,6,2,201939,Stephen Curry,Regular,57,1,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500069:2:6:57,LAC
73,13,88,Pullup Jump shot,11.70425439,101108,Chris Paul,6.28386,38.52096,Missed Shot,20151104,219,21500069,Shot Chart Detail,1,GSW,4,50,5,2,201939,Stephen Curry,Regular,57,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:5:57,LAC
74,7,89,Step Back Jump shot,5.382306951,201933,Blake Griffin,27.20833,20.26125,Made Shot,20151104,248,21500069,Shot Chart Detail,1,GSW,29,15,2,2,201939,Stephen Curry,Regular,8,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:2:08,LAC
75,6,90,Running Pull-Up Jump Shot,4.177185812,101108,Chris Paul,79.28057,29.77196,Missed Shot,20151104,289,21500069,Shot Chart Detail,1,GSW,75,29,10,3,201939,Stephen Curry,Regular,39,1,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500069:3:10:39,LAC
76,7,91,Jump Shot,5.498708344,201933,Blake Griffin,63.0762,38.95598,Missed Shot,20151104,316,21500069,Shot Chart Detail,1,GSW,58,36,7,3,201939,Stephen Curry,Regular,49,1,30,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:3:7:49,LAC
77,7,92,Layup Shot,2.048558293,203085,Austin Rivers,68.08749,23.77866,Missed Shot,20151104,331,21500069,Shot Chart Detail,1,GSW,67,21,6,3,201939,Stephen Curry,Regular,56,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500069:3:6:56,LAC
